Input,Table,Output
What is the email address of the user?,id name email ,1
What is the user's phone number?,id name email phone ,1
How many products did the customer purchase?,id name customer_id product_id quantity ,1
What is the name of the employee who works in department X?,id name department_id ,1
What is the address of the customer with ID 123?,id name address ,1
What is the total cost of all orders placed on a certain date?,id order_date product_id quantity price ,0
What is the salary of the employee with ID 456?,id name salary ,1
What is the name of the product with ID 789?,id name price ,1
What is the gender of the user?,id name gender ,1
What is the age of the employee?,id name age ,1
What is the postal code of the customer?,id name address postal_code ,1
What is the balance of the customer's account?,id name balance ,1
What is the name of the employee who was hired on a certain date?,id name hire_date ,0
What is the phone number of the customer with ID 456?,id name phone email ,1
What is the name of the product with the lowest price?,id name price ,0
What is the job title of the employee with ID 789?,id name job_title ,1
What is the address of the user with ID 123?,id name address ,1
What is the quantity of a certain product in stock?,id name product_id quantity ,1
What is the name of the customer who placed the order with ID 456?,id name customer_id order_id ,1
What is the email address of the employee with ID 789?,id name email ,1
What is the price of the product with ID 123?,id name price ,1
What is the name of the customer who made the purchase on a certain date?,id name customer_id date product_id ,0
What is the quantity of a certain product sold last month?,id name product_id quantity sale_date ,1
What is the department of the employee with ID 456?,id name department ,1
What is the name of the user with email address X?,id name email ,1
What is the balance of the customer's account with ID 789?,id name balance ,1
What is the name of the employee who manages department X?,id name department_id manager_id ,1
What is the phone number of the customer with name X?,id name phone email ,1
What is the address of the user with ID 123?,id name address ,1
What is the date of the last order placed by the customer with ID 456?,id name customer_id order_date ,1
What is the job title of the employee with ID 789?,id name job_title ,1
What is the total amount of sales in the last quarter?,id name product_id quantity sale_date ,0
What is the name of the customer who made the largest purchase?,id name customer_id product_id quantity price ,0
What is the age of the user with email address X?,id name age email ,1
What is the name of the customer with the highest balance?,id name balance ,0
What is the number of employees in department X?,id name department_id ,1
What is the name of the product with the highest price?,id name price ,0
What is the total revenue generated by the company in the last year?,id name product_id quantity price sale_date ,0
What is the name of the employee with the highest salary?,id name salary ,0
What is the average age of all employees?,id name age ,1
What is the name of the employee who made the most sales last month?,id name employee_id product_id quantity sale_date ,0
What is the email address of the customer with ID 123?,id name email phone ,1
What is the name of the customer who made a purchase of a certain product?,id name customer_id product_id quantity price ,1
What is the address of the customer with the highest balance?,id name address balance ,0
What is the name of the employee who has the most seniority?,id name hire_date ,1
What is the total revenue generated by the company last month?,id name product_id quantity price sale_date ,1
What is the name of the product with the highest sales?,id name product_id quantity sale_date ,0
What is the name of the customer with the most purchases?,id name customer_id product_id quantity price ,0
What is the department of the employee with the highest salary?,id name department_id salary ,0
What is the name of the employee who was hired on a certain date?,id name hire_date ,1
What is the phone number of the customer with the lowest balance?,id name phone balance ,0
What is the name of the product with the lowest sales?,id name product_id quantity sale_date ,0
What is the number of employees in a certain department?,id name department_id ,1
What is the name of the customer who placed the last order?,id name customer_id order_date ,1
What is the name of the employee who manages the most employees?,id name department_id manager_id ,0
What is the balance of the customer's account with email address X?,id name email balance ,1
What is the name of the product with the highest profit margin?,id name product_id cost price ,0
What is the total cost of all products in stock?,id name product_id quantity cost ,1
What is the name of the employee who has worked the longest?,id name hire_date ,1
What is the address of the customer who placed the largest order?,id name customer_id order_id address ,0
What is the name of the employee who received the most positive customer feedback?,id name employee_id feedback_score ,1
